Moneda,Fecha,total_volumes
bitcoin,2018-08-22,6336.66
bitcoin,2018-08-23,6521.07
bitcoin,2018-08-24,6684.38
bitcoin,2018-08-25,6736.04
bitcoin,2018-08-26,6728.29
bitcoin,2018-08-27,6911.1
bitcoin,2018-08-28,7075.98
bitcoin,2018-08-29,7046.75
bitcoin,2018-08-30,7024.15
bitcoin,2018-08-31,7027.63
bitcoin,2018-09-01,7211.27
bitcoin,2018-09-02,7305.27
bitcoin,2018-09-03,7260.9
bitcoin,2018-09-04,7359.46
bitcoin,2018-09-05,6764.93
bitcoin,2018-09-06,6498.28
bitcoin,2018-09-07,6397.82
bitcoin,2018-09-08,6181.19
bitcoin,2018-09-09,6260.76
bitcoin,2018-09-10,6308.14
bitcoin,2018-09-11,6278.92
bitcoin,2018-09-12,6330.57
bitcoin,2018-09-13,6486.46
bitcoin,2018-09-14,6500.01
bitcoin,2018-09-15,6530.22
bitcoin,2018-09-16,6506.25
bitcoin,2018-09-17,6250.12
bitcoin,2018-09-18,6347.07
bitcoin,2018-09-19,6383.75
bitcoin,2018-09-20,6491.89
bitcoin,2018-09-21,6753.83
bitcoin,2018-09-22,6747.03
bitcoin,2018-09-23,6711.03
bitcoin,2018-09-24,6596.19
bitcoin,2018-09-25,6441.31
bitcoin,2018-09-26,6462.8
bitcoin,2018-09-27,6704.7
bitcoin,2018-09-28,6634.77
bitcoin,2018-09-29,6606.07
bitcoin,2018-09-30,6626.04
bitcoin,2018-10-01,6598.84
bitcoin,2018-10-02,6524.61
bitcoin,2018-10-03,6499.26
bitcoin,2018-10-04,6578.7
bitcoin,2018-10-05,6621.19
bitcoin,2018-10-06,6589.12
bitcoin,2018-10-07,6584.83
bitcoin,2018-10-08,6653.09
bitcoin,2018-10-09,6633.75
bitcoin,2018-10-10,6582.46
bitcoin,2018-10-11,6234.37
bitcoin,2018-10-12,6285.59
bitcoin,2018-10-13,6314.88
bitcoin,2018-10-14,6328.55
bitcoin,2018-10-15,6659.88
bitcoin,2018-10-16,6635.13
bitcoin,2018-10-17,6635.74
bitcoin,2018-10-18,6517.51
bitcoin,2018-10-19,6483.83
bitcoin,2018-10-20,6532.68
bitcoin,2018-10-21,6529.67
bitcoin,2018-10-22,6512.59
bitcoin,2018-10-23,6472.8
bitcoin,2018-10-24,6481.44
bitcoin,2018-10-25,6458.19
bitcoin,2018-10-26,6468.83
bitcoin,2018-10-27,6457.06
bitcoin,2018-10-28,6481.32
bitcoin,2018-10-29,6292.65
bitcoin,2018-10-30,6331.78
