Moneda,Fecha,Market_Cap
bitcoin,2019-01-20,61969431896.71978
bitcoin,2019-01-21,61784404483.04622
bitcoin,2019-01-22,62482350133.95662
bitcoin,2019-01-23,62216525710.040085
bitcoin,2019-01-24,62397665388.19675
bitcoin,2019-01-25,62386316357.47355
bitcoin,2019-01-26,62374968460.904976
bitcoin,2019-01-27,62192208387.693
bitcoin,2019-01-28,60087154448.40433
bitcoin,2019-01-29,59768195291.00078
bitcoin,2019-01-30,60555372963.791016
bitcoin,2019-01-31,60101226569.37371
bitcoin,2019-02-01,60678990333.1717
bitcoin,2019-02-02,61071179758.435844
bitcoin,2019-02-03,60524138032.473946
bitcoin,2019-02-04,60723961265.783615
bitcoin,2019-02-05,60825168548.915
bitcoin,2019-02-06,59682137962.35292
bitcoin,2019-02-07,59482397752.99235
bitcoin,2019-02-08,64226481382.1611
bitcoin,2019-02-09,64286029202.05369
bitcoin,2019-02-10,64439836442.25577
bitcoin,2019-02-11,63670312531.29947
bitcoin,2019-02-12,63712841387.27635
bitcoin,2019-02-13,63267872020.65663
bitcoin,2019-02-14,62991824523.89914
bitcoin,2019-02-15,63165603231.85129
bitcoin,2019-02-16,63547140519.07759
bitcoin,2019-02-17,64383522064.40136
bitcoin,2019-02-18,68147457622.522125
bitcoin,2019-02-19,68719418872.04398
bitcoin,2019-02-20,69790459105.50142
bitcoin,2019-02-21,69059468752.51183
bitcoin,2019-02-22,69748877117.19371
bitcoin,2019-02-23,72266544791.73584
bitcoin,2019-02-24,66108588220.39571
bitcoin,2019-02-25,67154603799.94677
bitcoin,2019-02-26,66890485485.37128
bitcoin,2019-02-27,67155912259.18905
bitcoin,2019-02-28,67016664287.2375
bitcoin,2019-03-01,67085713233.78275
bitcoin,2019-03-02,67101767698.901596
bitcoin,2019-03-03,66885712070.35212
bitcoin,2019-03-04,65238057881.55198
bitcoin,2019-03-05,67733767403.2078
bitcoin,2019-03-06,67888909504.19791
bitcoin,2019-03-07,68020879276.31612
bitcoin,2019-03-08,67914021946.078575
bitcoin,2019-03-09,69292799411.19722
bitcoin,2019-03-10,68962957216.01791
bitcoin,2019-03-11,67983966610.10971
bitcoin,2019-03-12,68203157396.32404
bitcoin,2019-03-13,67968370343.91208
bitcoin,2019-03-14,68177693410.06057
bitcoin,2019-03-15,69031558676.15643
bitcoin,2019-03-16,70497099778.1464
bitcoin,2019-03-17,70051219293.32379
bitcoin,2019-03-18,70152235369.2381
bitcoin,2019-03-19,70618508801.77231
bitcoin,2019-03-20,71208656536.95811
bitcoin,2019-03-21,70175421257.0859
bitcoin,2019-03-22,70227188528.50433
bitcoin,2019-03-23,70485598083.6817
bitcoin,2019-03-24,70330401859.60312
bitcoin,2019-03-25,69206266248.88437
bitcoin,2019-03-26,69368692535.334
bitcoin,2019-03-27,71134892682.49236
bitcoin,2019-03-28,70961529493.34933
bitcoin,2019-03-29,72303023146.20026
bitcoin,2019-03-30,72305792937.3489
bitcoin,2019-03-31,72310769858.13646
bitcoin,2019-04-01,73066822741.99345
bitcoin,2019-04-02,86200568432.5752
bitcoin,2019-04-03,87673795383.52638
bitcoin,2019-04-04,86482892583.41296
bitcoin,2019-04-05,88332459637.7143
bitcoin,2019-04-06,88955701285.46048
bitcoin,2019-04-07,91102196906.19292
bitcoin,2019-04-08,92817357385.16908
bitcoin,2019-04-09,91255525157.87743
bitcoin,2019-04-10,93646653914.38365
bitcoin,2019-04-11,89079171479.86378
bitcoin,2019-04-12,89668931907.92058
bitcoin,2019-04-13,89473995793.9539
bitcoin,2019-04-14,90952758268.0811
bitcoin,2019-04-15,89148028192.09521
bitcoin,2019-04-16,91835875597.91147
bitcoin,2019-04-17,92156851198.58777
bitcoin,2019-04-18,93215173176.98566
bitcoin,2019-04-19,93210585886.91354
bitcoin,2019-04-20,93900276128.91374
bitcoin,2019-04-21,93759009855.06888
bitcoin,2019-04-22,94990455842.8902
bitcoin,2019-04-23,98039931169.25388
bitcoin,2019-04-24,96218396013.24342
bitcoin,2019-04-25,91817406863.89627
bitcoin,2019-04-26,93049690718.15042
bitcoin,2019-04-27,93148101239.95938
bitcoin,2019-04-28,92775167509.00262
bitcoin,2019-04-29,91885324029.79892
bitcoin,2019-04-30,93534079555.95955
bitcoin,2019-05-01,94579889910.03488
bitcoin,2019-05-02,96389607751.50581
bitcoin,2019-05-03,101175865117.03497
bitcoin,2019-05-04,102653043813.21808
bitcoin,2019-05-05,101764683178.68076
bitcoin,2019-05-06,101101531131.03914
bitcoin,2019-05-07,103982497546.43155
bitcoin,2019-05-08,105271848239.8506
bitcoin,2019-05-09,109284325643.20634
bitcoin,2019-05-10,112684642518.92992
bitcoin,2019-05-11,129323693413.35974
bitcoin,2019-05-12,122826926577.3603
bitcoin,2019-05-13,138089773338.27194
bitcoin,2019-05-14,141341132028.998
bitcoin,2019-05-15,144615566025.01224
bitcoin,2019-05-16,139525363820.16046
bitcoin,2019-05-17,130123159718.19748
bitcoin,2019-05-18,129270047519.99455
bitcoin,2019-05-19,144597541605.24557
bitcoin,2019-05-20,141109768386.16797
bitcoin,2019-05-21,141016653223.21735
bitcoin,2019-05-22,135913068220.78972
bitcoin,2019-05-23,139495233992.3291
bitcoin,2019-05-24,141356836449.39377
bitcoin,2019-05-25,142301375408.95212
bitcoin,2019-05-26,152778982387.80127
bitcoin,2019-05-27,156351517828.83902
bitcoin,2019-05-28,154706420284.54605
bitcoin,2019-05-29,153190671229.78632
bitcoin,2019-05-30,147528939419.42154
bitcoin,2019-05-31,152037344606.20877
bitcoin,2019-06-01,151754429106.1446
bitcoin,2019-06-02,155008799790.32507
bitcoin,2019-06-03,145118113641.65356
bitcoin,2019-06-04,136045887609.96283
bitcoin,2019-06-05,138590833268.1022
bitcoin,2019-06-06,138816674700.54028
bitcoin,2019-06-07,142810130543.30536
bitcoin,2019-06-08,140990840427.82074
bitcoin,2019-06-09,136055336062.27316
bitcoin,2019-06-10,141925422733.43433
bitcoin,2019-06-11,140220553937.84616
bitcoin,2019-06-12,144409895371.7695
bitcoin,2019-06-13,145982200973.5864
bitcoin,2019-06-14,154448670610.87314
bitcoin,2019-06-15,156571955413.46933
bitcoin,2019-06-16,159990740760.34872
bitcoin,2019-06-17,165478791606.02725
bitcoin,2019-06-18,161689176435.31613
bitcoin,2019-06-19,164856060873.05832
bitcoin,2019-06-20,169961289184.54773
bitcoin,2019-06-21,179686819951.0701
bitcoin,2019-06-22,190271555704.10333
bitcoin,2019-06-23,193006026351.06372
bitcoin,2019-06-24,196224565118.84543
bitcoin,2019-06-25,209906767119.21564
bitcoin,2019-06-26,231104555834.96542
bitcoin,2019-06-27,198805331511.7231
bitcoin,2019-06-28,219700496726.02618
bitcoin,2019-06-29,213020899675.1298
bitcoin,2019-06-30,193705059813.9276
bitcoin,2019-07-01,189075622551.36316
bitcoin,2019-07-02,191741802293.97986
bitcoin,2019-07-03,213139916541.64767
bitcoin,2019-07-04,199869428146.8407
bitcoin,2019-07-05,195514947598.0145
bitcoin,2019-07-06,200989208002.57162
bitcoin,2019-07-07,203441013269.87305
bitcoin,2019-07-08,217909027168.13293
bitcoin,2019-07-09,223082925042.62775
bitcoin,2019-07-10,216918064309.90915
bitcoin,2019-07-11,202244103401.21423
bitcoin,2019-07-12,210058300503.64526
bitcoin,2019-07-13,202979011731.3034
bitcoin,2019-07-14,183265698057.30487
bitcoin,2019-07-15,195225460386.1362
bitcoin,2019-07-16,170100385848.08353
bitcoin,2019-07-17,172236725014.4112
bitcoin,2019-07-18,189588944050.24216
bitcoin,2019-07-19,187718958960.57816
bitcoin,2019-07-20,190839615019.19455
bitcoin,2019-07-21,189302289398.0001
bitcoin,2019-07-22,184582963699.30176
bitcoin,2019-07-23,177060329754.31393
bitcoin,2019-07-24,175298806837.89883
bitcoin,2019-07-25,176569486287.9306
bitcoin,2019-07-26,175634298896.93475
bitcoin,2019-07-27,168472890623.8368
bitcoin,2019-07-28,170325673262.38525
bitcoin,2019-07-29,169247002246.27844
bitcoin,2019-07-30,170790961770.58182
bitcoin,2019-07-31,179525433372.0441
bitcoin,2019-08-01,185025579624.96027
bitcoin,2019-08-02,187993708173.329
bitcoin,2019-08-03,192658484290.18
bitcoin,2019-08-04,195575205441.64883
bitcoin,2019-08-05,210831100251.74985
bitcoin,2019-08-06,204493918413.86813
bitcoin,2019-08-07,213446022648.57455
bitcoin,2019-08-08,214023992147.5213
bitcoin,2019-08-09,211775940827.03262
bitcoin,2019-08-10,202567916483.04468
bitcoin,2019-08-11,206323428608.19785
bitcoin,2019-08-12,203438784510.78018
bitcoin,2019-08-13,194716791550.1683
bitcoin,2019-08-14,178691691521.25024
bitcoin,2019-08-15,183808182261.62988
bitcoin,2019-08-16,184635409004.2465
bitcoin,2019-08-17,182893178091.06567
bitcoin,2019-08-18,184381498343.8289
bitcoin,2019-08-19,194884121164.64297
bitcoin,2019-08-20,192182485883.75177
bitcoin,2019-08-21,181094936743.7679
bitcoin,2019-08-22,181311699889.67206
bitcoin,2019-08-23,187878412535.86255
bitcoin,2019-08-24,181764456091.20227
bitcoin,2019-08-25,180491202154.3331
bitcoin,2019-08-26,184989701185.5528
bitcoin,2019-08-27,181891056658.03235
bitcoin,2019-08-28,174174790993.24042
bitcoin,2019-08-29,169825879929.63724
bitcoin,2019-08-30,171703455568.1713
bitcoin,2019-08-31,172069023390.1022
bitcoin,2019-09-01,174169160998.9338
bitcoin,2019-09-02,184367332385.84335
bitcoin,2019-09-03,190297653628.6036
bitcoin,2019-09-04,189378108188.9303
bitcoin,2019-09-05,189354988380.25543
bitcoin,2019-09-06,185513074361.89188
bitcoin,2019-09-07,187490153206.3296
bitcoin,2019-09-08,186487925900.29575
bitcoin,2019-09-09,185101736449.4789
