symbol,name,market_cap
btc,Bitcoin,508995950059
eth,Ethereum,200686357300
usdt,Tether,82846377526
bnb,BNB,32472455814
xrp,XRP,27705605010
usdc,USD Coin,25980448102
steth,Lido Staked Ether,13791264803
ada,Cardano,9248844828
doge,Dogecoin,8792370737
sol,Solana,8669309990
